630.52	2876.00
630.54	775.00
630.55	781.00
630.57	772.00
630.59	1100.00
630.61	1810.00
630.63	1882.00
630.65	2152.00
630.67	1852.00
630.69	1740.00
630.71	1660.00
630.73	1973.00
630.75	2007.00
630.77	1300.00
630.79	1437.00
630.81	1805.00
630.83	1885.00
630.85	1594.00
630.86	1696.00
630.88	2538.00
630.90	2565.00
630.92	2173.00
630.94	2087.00
630.96	2520.00
630.98	1987.00
631.00	1628.00
631.02	1507.00
631.04	1811.00
631.06	1775.00
631.08	1731.00
631.10	2106.00
631.12	2531.00
631.13	2620.00
631.15	2199.00
631.17	1875.00
631.19	1875.00
631.21	1822.00
631.23	1422.00
631.25	1982.00
631.27	2710.00
631.29	2306.00
631.31	1786.00
631.33	1737.00
631.35	1821.00
631.37	1730.00
631.39	1656.00
631.40	1967.00
631.42	2246.00
631.44	2224.00
631.46	1590.00
631.48	1801.00
631.50	2364.00
631.52	2347.00
631.54	1860.00
631.56	1964.00
631.58	2359.00
631.60	2079.00
631.62	1874.00
631.64	1965.00
631.66	2053.00
631.67	1765.00
631.69	1692.00
631.71	1971.00
631.73	2325.00
631.75	2095.00
631.77	1777.00
631.79	1896.00
631.81	2039.00
631.83	1887.00
631.85	1617.00
631.87	2211.00
631.89	2598.00
631.91	2275.00
631.92	1994.00
631.94	1935.00
631.96	2045.00
631.98	1857.00
632.00	1792.00
632.02	1943.00
632.04	1881.00
632.06	1899.00
632.08	1791.00
632.10	1811.00
632.12	2517.00
632.14	2269.00
632.15	1856.00
632.17	1693.00
632.19	2305.00
632.21	2450.00
632.23	1865.00
632.25	2148.00
632.27	2649.00
632.29	2488.00
632.31	2110.00
632.33	2392.00
632.35	2473.00
632.37	2446.00
632.38	1790.00
632.40	1833.00
632.42	2222.00
632.44	2252.00
632.46	1620.00
632.48	1733.00
632.50	2150.00
632.52	2329.00
632.54	2222.00
632.56	2076.00
632.58	2054.00
632.59	2187.00
632.61	2293.00
632.63	2081.00
632.65	2550.00
632.67	2393.00
632.69	2036.00
632.71	1913.00
632.73	2488.00
632.75	2642.00
632.77	2295.00
632.79	2083.00
632.80	2294.00
632.82	2258.00
632.84	2214.00
632.86	2590.00
632.88	2769.00
632.90	2123.00
632.92	1818.00
632.94	2101.00
632.96	2202.00
632.98	2105.00
633.00	1907.00
633.01	2131.00
633.03	2421.00
633.05	2567.00
633.07	2001.00
633.09	1883.00
633.11	2019.00
633.13	2219.00
633.15	2184.00
633.17	1986.00
633.19	2277.00
633.20	2011.00
633.22	1678.00
633.24	2007.00
633.26	2607.00
633.28	2274.00
633.30	1796.00
633.32	2043.00
633.34	2414.00
633.36	2210.00
633.38	2165.00
633.39	2159.00
633.41	2332.00
633.43	2300.00
633.45	2313.00
633.47	2130.00
633.49	2443.00
633.51	2386.00
633.53	2449.00
633.55	2494.00
633.57	2488.00
633.58	2265.00
633.60	1890.00
633.62	2123.00
633.64	2571.00
633.66	2514.00
633.68	2085.00
633.70	2201.00
633.72	2465.00
633.74	2400.00
633.76	2267.00
633.77	2308.00
633.79	2566.00
633.81	2344.00
633.83	2060.00
633.85	2391.00
633.87	2640.00
633.89	2189.00
633.91	2037.00
